Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thái Bình,,,,,15.4,,15.0,11,11.8,11.5,12.2,11,10.8,10.4,10.3,10.1,9.9,9.9,9.7,10.8,9.74,,,9.99
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Nam,,,,,13.0,,13.5,14,15.9,15.7,15,12.6,12.6,12.2,12,11.8,11.6,11.6,11.4,11.29,11.31,,,9.96
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Nam Định,,,,,16.0,,13.1,11,13.5,13.2,13.8,13.4,13.2,12.8,12.6,12.3,12.1,12.1,11.9,11.65,11.82,,,11.05
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Ninh Bình,,,,,16.8,,14.0,13,15.9,15.4,16,15.1,15.1,14.6,14.3,14.1,13.9,13.8,13.6,12.55,12.36,,,12.12
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Trung du và miền núi phía Bắc,,,,,26.4,,23.7,21,24.5,24.3,23,23.5,23.2,22.4,22,21.5,21.4,21.4,20.8,20.07,20.64,,,17.12
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Giang,,,,,55.8,,44.5,40,37.5,37.1,35,35.8,35.3,34.2,33.6,33,32.5,32.3,31.8,29.86,28.46,,,20.19
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Cao Bằng,,,,,42.4,,40.0,40,28.7,28.2,24.8,25.2,25.1,24.3,23.9,23.5,23.1,23,22.6,22.66,20.14,,,18.07
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Kạn,,,,,28.9,,20.4,21,19.9,19.5,18.4,18.7,18.5,17.9,17.6,17.3,17,16.9,16.6,16.68,16.66,,,16.02
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Tuyên Quang,,,,,29.0,,37.0,32,19.9,19,18.6,18.9,18.9,18.2,18.6,18.2,18,17.9,17.6,17.49,17.76,,,15.57
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lào Cai,,,,,30.7,,25.0,23,32,31.6,29.8,30.3,30.2,29.2,28.8,28.2,27.8,27.7,27.2,26.82,24.55,,,20.7
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Yên Bái,,,,,35.0,,32.5,32,28.7,26.5,26.1,29.6,29.4,28.3,26.9,26.4,26.1,25.9,25.5,25.83,25.52,,,21.03
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thái Nguyên,,,,,21.3,,21.0,19,14.8,14,13.7,15.3,15.3,15,14.7,14.5,14.2,14.2,13.9,13.75,13.69,,,12.12
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lạng Sơn,,,,,34.1,,25.0,22,19.7,16.7,19.2,19.5,19.2,18.6,18.3,18,17.7,17.6,17.3,17.1,17.03,,,15.92
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Giang,,,,,27.3,,19.0,18,17.2,16.7,15.7,16,15.8,15.3,15.3,15,14.8,14.7,14.5,14.35,14.44,,,12.66
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Phú Thọ,,,,,17.9,,17.0,19,18.8,18.2,17.2,15.8,15.8,15.3,15.1,14.8,14.6,14.5,14.2,14.39,14.15,,,12.82
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Điện Biên,,,,,41.0,,37.0,33,39.7,37.3,35.2,35.8,35.5,34.4,33.8,33.2,32.7,32.5,31.9,29.7,29.7,,,25.57
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lai Châu,,,,,44.0,,37.0,33,47.7,46.1,43.5,44.2,44,42.6,41.9,41.1,40.5,40.2,39.6,36.19,31.7,,,25.64
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Sơn La,,,,,33.0,,31.0,28,27.5,25.6,24.1,24.5,24,23.2,22.9,22.4,22.1,22,21.6,21.4,21.45,,,17.18
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hòa Bình,,,,,27.5,,26.0,28,19.9,19.4,17.4,17.7,17.7,17.1,17.4,17.1,16.8,16.7,16.5,16.62,16.38,,,15.07
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bắc Trung Bộ và duyên hải miền Trung,,,,,22.4,,18.8,16,17.2,17.1,17.1,17.1,17,16.6,16.3,16,15.9,15.8,15.4,15.16,14.44,,,13.08
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thanh Hóa,,,,,24.9,,23.0,19,17,15,14.2,16.2,16,15.5,15.5,15.2,15,14.9,14.6,14.44,14.41,,,13.75
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Nghệ An,,,,,25.1,,23.8,26,18.5,16.8,16.7,17.4,17.4,16.9,16.8,16.5,16.3,16.2,15.9,15.32,15.17,,,14.3
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hà Tĩnh,,,,,20.4,,18.1,18,18.2,17.5,18,18.1,18,17.4,17.1,16.8,16.6,16.5,16.2,16.67,16.08,,,14.66
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Bình,,,,,20.8,,18.0,17,20.9,18.1,19,18,17.8,17.3,17,16.7,16.4,16.3,16,16.5,15.93,,,15.45
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Trị,,,,,37.5,,35.5,35,38,36,35.4,33.8,33.5,32.4,31.9,31.3,30.8,30.6,30.2,30.69,26.69,,,20.88
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Thừa Thiên - Huế,,,,,19.8,,14.8,15,23,19.3,18.9,21,21,20.3,20,19.6,19.3,19.2,18.9,19.14,17.4,,,15.29
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đà Nẵng,,,,,9.0,,10.0,11,11,10.1,9.9,9.5,9.3,9,8.8,8.7,8.5,8.5,8.4,8.01,8.19,,,7.54
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Nam,,,,,22.0,,19.5,17,21,19.5,19.9,17.4,17.5,16.9,16.6,16.3,16.1,16,15.7,15.44,15.28,,,14.67
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Quảng Ngãi,,,,,20.8,,19.7,16,20,18,19.9,18.9,18.8,18.2,17.9,17.5,17.3,17.2,16.9,17.23,16.81,,,15.64
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bình Định,,,,,20.3,,18.3,17,18.5,15.2,16,16,15.9,15.4,15.1,14.8,14.6,14.5,14.3,14.21,14.31,,,12.91
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Phú Yên,,,,,30.8,,27.0,22,21,19.2,18.8,16,15.9,15.4,15.2,14.9,14.7,14.6,14.3,14.03,14.16,,,13.79
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Khánh Hòa,,,,,14.7,,15.0,14,16.5,15,15,14.7,14.7,14.2,14,13.7,13.5,13.5,13.3,14.17,13.11,,,12.45
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Ninh Thuận,,,,,22.6,,16.5,20,22.6,18.8,18.4,17.4,17.2,16.6,16.4,16.1,15.8,15.7,15.5,15.78,15.18,,,14.19
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bình Thuận,,,,,18.7,,14.0,14,15,14,13.7,13.4,13.2,12.7,12.5,12.3,12.1,12.1,11.8,11.62,11.42,,,11.07
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Tây Nguyên,,,,,28.8,,27.0,23,27.3,26.8,24.3,26.4,26.1,25.9,24.8,24,23.7,23.6,23.4,21.17,21.05,,,19.18
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Kon Tum,,,,,62.6,,50.0,48,38.2,38.1,40.7,40,40,38.7,38.1,37.4,36.8,36.6,36,32.6,31.29,,,26.23
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Gia Lai,,,,,44.4,,32.0,28,25.8,25.7,27,30.8,30.6,28.9,26.3,25.8,25.4,25.2,24.8,24.21,20.75,,,17.73
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đắk Lắk,,,,,27.0,,24.0,19,22.1,22,22,24.6,24.7,24.2,24,23.6,23.2,23.1,22.7,21.3,19.98,,,18.87
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đắk Nông,,,,,34.0,,30.0,27,26.8,26.6,26.1,28.5,28.5,27.1,25.7,25.2,24.9,24.7,24.3,24.07,23.53,,,20.16
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Lâm Đồng,,,,,18.3,,14.6,14,14.6,14.5,14.2,16.5,16.5,16.6,16.3,16,15.8,15.7,15.4,14.79,14.84,,,14.12
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đông Nam Bộ,,,,,10.6,,10.0,8,10,9.6,9.3,9.2,9.1,8.8,8.6,8.5,8.4,8.2,8.1,8.2,8.35,,,8.03
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bình Phước,,,,,21.3,,19.0,18,19,16.2,15.9,14.8,14.8,14.3,14,13.8,13.6,13.5,13.3,13.08,13,,,12.38
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Tây Ninh,,,,,19.7,,14.5,14,14,13,12.3,12.5,12.4,12,11.8,11.6,11.4,11.3,11.1,11.21,11.04,,,10.86
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bình Dương,,,,,15.7,,12.0,13,9.8,9,9.5,9.4,9.4,9.1,9,8.8,8.7,8.6,8.5,8.24,8.68,,,8.19
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đồng Nai,,,,,16.4,,13.5,11,9.8,9,9.2,8.1,8.1,7.8,7.7,7.5,7.4,7.4,7.2,7.95,8.03,,,7.96
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bà Rịa - Vũng Tàu,,,,,10.3,,11.0,10,10,8.9,8.5,8.7,8.6,8.3,8.1,8,7.9,7.8,7.7,7.59,7.72,,,7.59
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,TP. Hồ Chí Minh,,,,,9.0,,10.0,12,8.9,7.7,7.7,8.1,8.1,7.9,7.7,7.6,7.5,7.4,7.3,7.62,7.75,,,7.8
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đồng bằng sông Cửu Long,,,,,14.4,,11.0,11,13.3,12.6,12.2,12,12,11.6,11.4,11.2,11,10.9,10.7,10.77,10.51,,,9.67
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Long An,,,,,15.1,,14.2,12,11,9.8,10.2,10,10,9.7,9.5,9.4,9.2,9.2,9,9.33,9.03,,,8.33
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Tiền Giang,,,,,14.3,,15.0,13,12,10.6,9.6,9.5,9.6,9.3,9.1,9,8.8,8.8,8.6,8.31,8.67,,,8.95
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bến Tre,,,,,20.3,,15.0,14,13,11.5,10.4,10.3,10.3,10,9.8,9.6,9.5,9.4,9.2,9.32,9.22,,,9.2
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Trà Vinh,,,,,20.4,,18.5,18,17,15,13.9,12.9,12.9,12.5,12.3,12.1,11.9,11.8,11.6,11.13,11.41,,,10.07
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Vĩnh Long,,,,,12.3,,13.0,13,12,11.5,11.1,10.9,10.6,10.3,10.1,9.9,9.8,9.7,9.6,9.42,9.72,,,9.04
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Đồng Tháp,,,,,16.1,,15.5,18,16,14,12.7,12.5,12.5,12.1,11.9,11.7,11.5,11.4,11.2,10.86,11.27,,,10.39
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,An Giang,,,,,20.9,,20.6,21,17,15.8,14.2,15.2,15.1,14.6,14.4,14.1,13.9,13.8,13.6,13.51,13.67,,,13.06
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Kiên Giang,,,,,16.0,,15.5,14,15,13.6,13.1,12.9,13,12.6,12.6,12.3,12.1,12.1,11.9,11.88,11.91,,,11.64
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Cần Thơ,,,,,10.0,,13.7,10,9.6,9,9.2,9.9,9.8,9.5,9.3,9.1,9,8.9,8.8,8.64,8.98,,,8.44
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Hậu Giang,,,,,12.0,,13.0,13,12,10.6,10.7,10.6,10.6,10.2,10.1,9.9,9.7,9.7,9.5,9.5,9.47,,,8.96
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Sóc Trăng,,,,,21.5,,19.0,22,17,15,14.3,13.9,13.8,13.3,13.1,12.9,12.7,12.6,12.4,12.12,12.27,,,11.67
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Bạc Liêu,,,,,21.2,,13.0,13,14,12.8,13.1,12.9,12.7,12.3,12.1,11.9,11.7,11.7,11.5,11.26,11.51,,,10.93
Tỷ suất chết của trẻ em dưới 1 tuổi phân theo địa phương chia theo Địa phương và Năm,Cà Mau,,,,,17.5,,14.4,14,15,14,12.9,11.9,11.9,11.5,11.3,11.1,10.9,10.9,10.6,9.95,10.35,,,9.94
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,TỔNG SỐ,Bác sĩ,35547,37780,40224,41193,41986,42993,44671,48065,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đồng bằng sông Hồng,Bác sĩ,9023,9112,9775,10107,10569,10460,10472,10851,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hà Nội,Bác sĩ,1600,1584,1610,1654,1685,1705,2641,2819,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hà Tây,Bác sĩ,925,942,1213,1046,1046,986,..,..,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Vĩnh Phúc,Bác sĩ,347,365,428,458,534,542,571,594,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bắc Ninh,Bác sĩ,462,497,475,469,554,611,628,653,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Quảng Ninh,Bác sĩ,638,663,700,709,703,708,708,710,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hải Dương,Bác sĩ,663,688,689,729,775,785,815,818,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hải Phòng,Bác sĩ,1128,1180,1197,1173,1359,1359,1349,1347,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hưng Yên,Bác sĩ,395,404,405,456,457,535,547,549,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Thái Bình,Bác sĩ,1020,1013,1301,1282,1332,1372,1330,1400,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hà Nam,Bác sĩ,472,482,485,531,486,448,462,484,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Nam Định,Bác sĩ,980,892,882,1038,1070,812,798,844,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Ninh Bình,Bác sĩ,393,402,390,562,568,597,623,633,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Trung du và miền núi phía Bắc,Bác sĩ,5161,5698,5904,6318,6087,6217,6781,7252,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hà Giang,Bác sĩ,264,302,305,316,328,327,405,501,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Cao Bằng,Bác sĩ,330,355,369,446,403,367,423,446,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bắc Kạn,Bác sĩ,221,254,253,268,289,320,329,346,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Tuyên Quang,Bác sĩ,372,393,373,389,382,383,416,428,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Lào Cai,Bác sĩ,290,295,297,303,338,360,375,418,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Yên Bái,Bác sĩ,409,426,438,454,465,486,503,517,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Thái Nguyên,Bác sĩ,700,746,736,785,727,717,705,699,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Lạng Sơn,Bác sĩ,404,517,616,680,537,522,596,566,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bắc Giang,Bác sĩ,611,703,944,1012,861,870,951,995,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Phú Thọ,Bác sĩ,556,578,580,580,627,663,749,749,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Điện Biên,Bác sĩ,..,..,199,91,217,228,244,256,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Lai Châu,Bác sĩ,285,291,76,258,103,112,116,121,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Sơn La,Bác sĩ,394,425,364,385,444,464,511,572,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hoà Bình,Bác sĩ,325,413,354,351,366,398,458,638,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bắc Trung Bộ và Duyên hải miền Trung,Bác sĩ,7859,8485,8722,9066,9110,9332,9694,10478,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Thanh Hoá,Bác sĩ,1399,1454,1555,1575,1579,1582,1633,2054,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Nghệ An,Bác sĩ,982,963,1033,1022,1136,1268,1338,1234,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Hà Tĩnh,Bác sĩ,507,527,527,648,482,516,591,787,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Quảng Bình,Bác sĩ,378,376,425,468,506,366,362,406,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Quảng Trị,Bác sĩ,308,361,330,346,352,357,382,382,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Thừa Thiên Huế,Bác sĩ,490,519,538,537,600,620,606,721,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đà Nẵng,Bác sĩ,570,674,687,732,738,760,761,761,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Quảng Nam,Bác sĩ,637,649,662,656,668,722,663,660,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Quảng Ngãi,Bác sĩ,459,576,534,581,505,527,545,549,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bình Định,Bác sĩ,587,651,671,728,726,772,791,760,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Phú Yên,Bác sĩ,416,532,425,425,435,426,428,416,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Khánh Hoà,Bác sĩ,452,464,532,543,555,595,742,896,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Ninh Thuận,Bác sĩ,228,241,249,249,276,279,280,285,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bình Thuận,Bác sĩ,446,498,554,556,552,542,572,567,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Tây Nguyên,Bác sĩ,1710,1826,2127,2131,2255,2328,2402,2653,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Kon Tum,Bác sĩ,183,191,188,202,199,200,245,249,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Gia Lai,Bác sĩ,345,399,498,408,455,493,503,509,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đắk Lắk,Bác sĩ,714,734,722,825,806,846,873,1161,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đắk Nông,Bác sĩ,..,..,195,162,192,186,181,203,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Lâm Đồng,Bác sĩ,468,502,524,534,603,603,600,531,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đông Nam Bộ,Bác sĩ,6007,6332,6614,6611,6716,7197,7436,8500,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bình Phước,Bác sĩ,211,315,322,287,326,326,331,351,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Tây Ninh,Bác sĩ,476,505,503,505,463,448,440,430,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bình Dương,Bác sĩ,335,338,394,403,498,472,491,523,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đồng Nai,Bác sĩ,681,686,686,686,672,789,881,890,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Bà Rịa - Vũng Tàu,Bác sĩ,476,431,408,386,386,386,387,469,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,TP.Hồ Chí Minh,Bác sĩ,3828,4057,4301,4344,4371,4776,4906,5837,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Đồng bằng sông Cửu Long,Bác sĩ,5787,6327,7082,6960,7249,7459,7886,8331,,,,,,,,,,,,,,,
Số nhân lực ngành Y trực thuộc sở Y tế phân theo địa phương,Long An,Bác sĩ,509,557,555,567,552,617,578,611,,,,,,,,,,,,,,,
